,game_id,home_team,away_team,home_score,away_score
461,2015020451,OTT,L.A,5,3
462,2015020452,DET,BUF,1,2
463,2015020453,BUF,N.J,0,2
464,2015020454,NYI,FLA,1,5
465,2015020455,NYR,EDM,4,2
466,2015020456,PHI,CAR,4,3
467,2015020457,TOR,T.B,4,5
468,2015020458,MTL,S.J,1,3
469,2015020459,NSH,CGY,1,2
470,2015020460,MIN,VAN,6,2
471,2015020461,WPG,STL,3,4
472,2015020462,CHI,COL,0,3
473,2015020463,DAL,CBJ,5,1
474,2015020464,WSH,OTT,2,1
475,2015020465,BOS,PIT,3,0
476,2015020466,BUF,ANA,3,0
477,2015020467,N.J,FLA,1,5
478,2015020468,PHI,VAN,2,0
479,2015020469,TOR,S.J,4,5
480,2015020470,MTL,L.A,0,3
481,2015020471,STL,NSH,2,1
482,2015020472,MIN,NYR,5,2
483,2015020473,CHI,EDM,4,0
484,2015020474,DAL,CGY,1,3
485,2015020475,COL,NYI,2,1
486,2015020476,ARI,CBJ,5,7
487,2015020477,PIT,BOS,2,6
488,2015020478,WSH,T.B,5,3
489,2015020478,WSH,T.B,5,3
490,2015020479,CAR,FLA,0,2
491,2015020480,OTT,S.J,4,2
492,2015020481,DET,VAN,3,4
493,2015020482,WPG,NYR,5,2
494,2015020483,BUF,CHI,2,3
495,2015020484,STL,CGY,3,2
496,2015020489,DAL,MTL,6,2
497,2015020485,TOR,L.A,5,0
498,2015020486,N.J,ANA,1,2
499,2015020487,PIT,CAR,1,2
500,2015020488,CBJ,PHI,3,2
501,2015020490,NSH,MIN,3,2
502,2015020491,ARI,NYI,1,0
503,2015020492,COL,EDM,5,1
504,2015020493,FLA,VAN,5,4
505,2015020494,BOS,N.J,2,1
506,2015020495,T.B,OTT,5,2
507,2015020498,CHI,S.J,4,3
508,2015020496,DET,CGY,4,2
509,2015020497,NYR,WSH,3,7
510,2015020499,NYI,ANA,5,2
511,2015020499,NYI,ANA,5,2
512,2015020500,PHI,STL,4,3
513,2015020501,PIT,CBJ,5,2
514,2015020502,CAR,WSH,1,2
515,2015020503,NSH,MTL,5,1
516,2015020504,MIN,DAL,3,6
517,2015020505,COL,TOR,4,7
518,2015020506,EDM,WPG,3,1
519,2015020507,BOS,STL,0,2
520,2015020508,NYR,ANA,3,2
521,2015020509,DET,N.J,3,4
522,2015020510,T.B,VAN,1,2
523,2015020511,FLA,OTT,2,1
524,2015020512,MIN,MTL,2,1
525,2015020513,DAL,CHI,4,0
526,2015020514,CGY,WPG,4,1
527,2015020515,ARI,TOR,3,2
528,2015020516,L.A,S.J,3,5
529,2015020517,BOS,BUF,3,6
530,2015020518,T.B,CBJ,5,2
531,2015020519,WSH,MTL,3,1
532,2015020520,CAR,N.J,3,1
533,2015020521,STL,DAL,3,2
534,2015020522,NSH,DET,2,3
535,2015020523,MIN,PIT,1,3
536,2015020524,ARI,L.A,3,4
537,2015020525,VAN,EDM,2,1
538,2015020526,OTT,BOS,3,1
539,2015020529,DAL,STL,3,0
540,2015020527,FLA,CBJ,3,2
541,2015020528,NYI,TOR,1,3
542,2015020530,CHI,CAR,1,2
543,2015020533,ANA,PHI,4,2
544,2015020532,COL,ARI,1,2
545,2015020531,WPG,PIT,1,0
546,2015020534,CGY,EDM,5,3
547,2015020535,BUF,WSH,0,2
548,2015020536,T.B,MTL,3,4
549,2015020537,NSH,NYR,5,3
550,2015020538,MIN,DET,3,1
551,2015020539,VAN,L.A,0,5
552,2015020540,S.J,COL,3,6
553,2015020541,BOS,OTT,7,3
554,2015020542,TOR,NYI,3,6
555,2015020542,TOR,NYI,3,6
556,2015020543,N.J,CAR,3,2
557,2015020544,CBJ,DAL,6,3
558,2015020545,FLA,MTL,3,1
559,2015020546,STL,NSH,4,3
560,2015020547,WPG,DET,4,1
561,2015020548,CGY,ANA,0,1
562,2015020549,EDM,L.A,2,5
563,2015020550,ARI,CHI,5,7
564,2015020551,PIT,TOR,2,3
565,2015020552,WSH,BUF,5,2
566,2015020553,OTT,N.J,0,3
567,2015020554,T.B,NYR,2,5
568,2015020555,S.J,PHI,4,2
569,2015020556,BUF,NYI,1,2
570,2015020557,DET,PIT,2,5
571,2015020558,CAR,WSH,4,2
572,2015020560,COL,CHI,3,4
573,2015020559,STL,MIN,1,3
574,2015020561,DAL,NSH,5,1
575,2015020562,CGY,L.A,1,4
576,2015020563,EDM,ANA,0,1
577,2015020564,ARI,WPG,4,2
578,2015020565,BOS,MTL,1,5
579,2015020566,VAN,ANA,2,1
580,2015020567,BUF,DET,3,4
581,2015020569,L.A,PHI,2,1
582,2015020568,EDM,ARI,4,3
583,2015020570,TOR,STL,4,1
584,2015020571,T.B,MIN,3,2
585,2015020572,FLA,NYR,3,0
586,2015020573,N.J,DAL,3,2
587,2015020574,PIT,NYI,5,2
588,2015020575,CAR,NSH,1,2
589,2015020576,CBJ,WSH,5,4
590,2015020578,S.J,WPG,1,4
591,2015020578,S.J,WPG,1,4
592,2015020577,COL,CGY,0,4
593,2015020579,NYI,DAL,6,5
594,2015020580,FLA,MIN,2,1
595,2015020581,CHI,OTT,3,0
596,2015020582,ANA,WPG,4,1
597,2015020583,N.J,DET,0,1
598,2015020584,STL,OTT,2,3
599,2015020585,COL,L.A,4,1
600,2015020586,EDM,CAR,1,0
601,2015020587,VAN,ARI,2,3
602,2015020588,BOS,WSH,2,3
603,2015020589,BUF,FLA,1,5
604,2015020590,NYR,DAL,6,2
605,2015020592,PIT,CHI,2,3
606,2015020593,CBJ,MIN,2,4
607,2015020591,PHI,MTL,4,3
608,2015020594,NSH,WPG,1,4
609,2015020595,CGY,T.B,3,1
610,2015020596,MTL,N.J,2,1
611,2015020597,CHI,PIT,3,1
612,2015020599,VAN,CAR,3,2
613,2015020600,ANA,TOR,0,4
614,2015020600,ANA,TOR,0,4
615,2015020598,COL,STL,4,3
616,2015020601,NYI,WSH,1,4
617,2015020602,OTT,FLA,2,3
618,2015020603,MIN,PHI,3,4
619,2015020604,DAL,WPG,2,1
620,2015020605,CGY,ARI,1,2
621,2015020606,L.A,TOR,2,1
622,2015020607,S.J,DET,1,2
623,2015020608,N.J,BOS,1,4
624,2015020609,CAR,CBJ,4,1
625,2015020610,CHI,BUF,3,1
626,2015020611,COL,NSH,5,3
627,2015020612,EDM,T.B,2,3
628,2015020613,ANA,STL,4,3
629,2015020613,ANA,STL,4,3
630,2015020614,NYR,WSH,3,4
631,2015020615,PHI,NYI,4,0
632,2015020619,S.J,TOR,7,0
633,2015020616,MTL,PIT,1,3
634,2015020617,OTT,BOS,2,1
635,2015020618,CBJ,CAR,3,4
636,2015020620,DAL,MIN,1,2
637,2015020621,ARI,NSH,4,0
638,2015020622,VAN,T.B,2,3
639,2015020623,L.A,STL,1,2
640,2015020624,WPG,BUF,2,4
641,2015020626,CHI,COL,6,3
642,2015020625,WSH,OTT,7,1
643,2015020628,ANA,DET,1,2
644,2015020627,MIN,N.J,1,2
645,2015020629,EDM,FLA,1,2
646,2015020630,NYR,BOS,2,1
647,2015020631,CGY,S.J,4,5
648,2015020632,VAN,FLA,3,2
649,2015020633,L.A,DET,4,2
650,2015020634,NYI,CBJ,5,2
651,2015020635,CAR,PIT,3,2
652,2015020636,STL,N.J,5,2
653,2015020637,MIN,BUF,2,3
654,2015020638,WPG,S.J,1,4
655,2015020639,CHI,NSH,3,2
656,2015020640,COL,T.B,0,4
657,2015020641,ARI,EDM,4,3
658,2015020642,TOR,CBJ,1,3
659,2015020643,PHI,BOS,3,2
660,2015020644,CGY,FLA,6,0
661,2015020645,ANA,OTT,4,1
662,2015020646,NYI,NYR,3,1
663,2015020647,WSH,VAN,4,1
664,2015020648,MTL,CHI,1,2
665,2015020649,STL,CAR,1,4
666,2015020649,STL,CAR,1,4
667,2015020650,WPG,NSH,5,4
668,2015020651,COL,N.J,3,0
669,2015020652,ARI,DET,2,3
670,2015020653,S.J,EDM,2,1
671,2015020654,BUF,BOS,1,4
672,2015020655,TOR,CHI,1,4
673,2015020656,CAR,VAN,2,3
674,2015020657,T.B,PIT,5,4
675,2015020658,MIN,WPG,0,1
676,2015020659,ANA,DAL,4,2
677,2015020660,PHI,NYR,2,3
678,2015020667,ARI,N.J,0,2
679,2015020661,L.A,OTT,3,5
680,2015020665,STL,MTL,4,3
681,2015020662,BOS,TOR,3,2
682,2015020663,BUF,WSH,4,1
683,2015020663,BUF,WSH,4,1
684,2015020664,CBJ,COL,2,1
685,2015020666,NSH,MIN,3,0
686,2015020668,EDM,CGY,2,1
687,2015020669,S.J,DAL,4,3
688,2015020670,PIT,CAR,5,0
689,2015020671,NYI,VAN,1,2
690,2015020672,T.B,FLA,3,1
691,2015020673,WSH,NYR,5,2
692,2015020673,WSH,NYR,5,2
693,2015020674,CHI,MTL,5,2
694,2015020675,DET,PHI,1,2
695,2015020676,ANA,L.A,2,3
696,2015020677,FLA,EDM,2,4
697,2015020678,STL,PIT,5,2
698,2015020679,WPG,COL,1,2
699,2015020680,ARI,BUF,1,2
700,2015020681,S.J,OTT,3,4
701,2015020682,N.J,CGY,4,2
702,2015020683,NYR,VAN,3,2
703,2015020684,PHI,TOR,2,3
704,2015020685,CBJ,WSH,3,6
705,2015020686,MTL,BOS,1,4
706,2015020687,T.B,EDM,6,4
707,2015020688,NSH,CHI,1,4
708,2015020689,L.A,DAL,3,2
709,2015020690,DET,STL,1,2
710,2015020691,COL,BUF,2,1
711,2015020692,ANA,MIN,3,1
712,2015020693,BOS,VAN,2,4
713,2015020694,N.J,OTT,6,3
714,2015020694,N.J,OTT,6,3
715,2015020695,PIT,PHI,4,3
716,2015020696,CBJ,CGY,2,4
717,2015020696,CBJ,CGY,2,4
718,2015020697,TOR,CAR,0,1
719,2015020698,T.B,CHI,2,1
720,2015020699,WPG,NSH,1,4
721,2015020700,DAL,EDM,3,2
722,2015020701,ARI,S.J,1,3
723,2015020702,L.A,MIN,0,3
724,2015020703,BUF,DET,0,3
725,2015020705,CAR,NYR,1,4
726,2015020706,OTT,NYI,2,5
727,2015020707,FLA,CHI,4,0
728,2015020708,COL,STL,2,1
729,2015020709,PIT,VAN,5,4
730,2015020710,S.J,MIN,4,3
731,2015020715,WPG,N.J,1,3
732,2015020711,BOS,CBJ,3,2
733,2015020712,TOR,MTL,2,3
734,2015020713,DET,ANA,3,4
735,2015020714,FLA,T.B,5,2
