date_of_fight,idk_column,player1_name,player1_team,player2_name,player2_team,winner
02/06/10,1 Pd 8:25,Colton Orr,TOR,Matt Carkner,OTT,Voted winner: Colton Orr (99.7%) - Voted rating: 7.88
02/06/10,3 Pd 5:27,Krys Barch,DAL,Paul Bissonnette,ARI,Voted winner: Paul Bissonnette (80.9%) - Voted rating: 5.04
02/06/10,3 Pd 14:35,Ryan White,MON,Bill Guerin,PIT,Voted winner: Ryan White (43.5%) - Voted rating: 3.43
02/06/10,1 Pd 4:27,Shawn Thornton,BOS,Darcy Hordichuk,VAN,Voted winner: Darcy Hordichuk (69%) - Voted rating: 4.69
02/05/10,2 Pd 12:32,Bryan Allen,FLA,Jamal Mayers,CAL,Voted winner: Jamal Mayers (78.9%) - Voted rating: 4.58
02/05/10,1 Pd 18:28,John Erskine,WAS,Chris Thorburn,ATL,Voted winner: John Erskine (78.4%) - Voted rating: 5.3
02/04/10,1 Pd 1:50,Raitis Ivanans,LAK,George Parros,ANA,Voted winner: Raitis Ivanans (54.9%) - Voted rating: 6.48
02/04/10,2 Pd 18:0,Chris Neil,OTT,Rick Rypien,VAN,Voted winner: Chris Neil (74.3%) - Voted rating: 7.16
02/04/10,1 Pd 14:29,Matt Carkner,OTT,Tanner Glass,VAN,Voted winner: Matt Carkner (96%) - Voted rating: 6.47
02/03/10,1 Pd 4:6,Troy Bodie,ANA,Jonathan Ericsson,DET,Voted winner: Jonathan Ericsson (23.2%) - Voted rating: 2.87
02/03/10,1 Pd 10:52,Zack Stortini,EDM,Ian Laperriere,PHI,Voted winner: Ian Laperriere (44.9%) - Voted rating: 3.9
02/03/10,1 Pd 17:13,Jamal Mayers,CAL,Tom Kostopoulos,CAR,Voted winner: Jamal Mayers (37.1%) - Voted rating: 2.19
02/02/10,2 Pd 8:42,Brandon Segal,LAK,Brandon Prust,NYR,Voted winner: Brandon Prust (94%) - Voted rating: 4.35
02/02/10,2 Pd 15:28,Steve Ott,DAL,Cal Clutterbuck,MIN,Voted winner: Steve Ott (86%) - Voted rating: 4.84
02/02/10,1 Pd 12:0,Steve Ott,DAL,Cal Clutterbuck,MIN,Voted winner: Steve Ott (87.2%) - Voted rating: 5.44
02/02/10,1 Pd 13:27,Jay Rosehill,TOR,Pierre-Luc Letourneau-Leblond,NJD,Voted winner: Pierre-Luc Letourneau-Leblond (87.7%) - Voted rating: 7.35
02/02/10,1 Pd 6:51,Dion Phaneuf,TOR,Colin White,NJD,Voted winner: Dion Phaneuf (68.7%) - Voted rating: 3.96
